participant,tempo,reaction_time,accuracy
1,0,0.828317142857142,0.06455422792613133
1,70,0.7833625000000026,0.11200988966678638
1,95,0.7444116000000003,0.06316510850251784
1,120,0.7853714285714294,0.1087045571702144
1,145,0.7668000000000019,0.07035507581384796
1,170,0.7789962499999987,0.16505793841058622
2,0,0.8107716666666628,0.16604303669468087
2,70,0.8811624999999985,0.18363184847977942
2,95,0.8594202857142863,0.10595866146643151
2,120,0.8807199999999986,0.08907885591189643
2,145,0.8453000000000017,0.1419333861664869
2,170,0.8503000000000002,0.12692946844948652
3,0,0.8067714285714292,0.09993341151266878
3,70,0.9163299999999973,0.19346449839395446
3,95,0.9263200000000011,0.16084932302943292
3,120,0.8825833333333293,0.15208995938589726
3,145,0.9293472500000002,0.21816733980381303
3,170,0.8598199999999991,0.11048270268444019
4,0,0.8413749999999993,0.2625948706030951
4,70,0.8772666666666661,0.21718269879184884
4,95,0.9496749999999992,0.6381739851182932
4,120,0.8663200000000018,0.8448518319978339
4,145,0.9230999999999995,0.25104508562876743
4,170,0.8953875000000053,0.32251096458667544
5,0,0.9275816666666685,0.254268714024791
5,70,0.900133333333334,0.24161827901557764
5,95,0.904371428571425,0.33881678286920663
5,120,0.9331200000000001,0.44328031907335097
5,145,0.8366301999999994,0.17985721883602634
5,170,0.9183444444444402,0.2928471345506594
6,0,0.9022285714285739,0.14795271591833625
6,70,0.8996714285714275,0.35309054326526124
6,95,0.9223250000000025,0.5144410714472544
6,120,0.851971250000001,0.23607558337522694
6,145,0.94974636,0.5006336760742236
6,170,0.9457112500000022,0.12767682156928303
7,0,0.9464287999999998,0.26084342008752465
7,70,0.8451142857142843,0.347996812896046
7,95,0.9660499999999956,0.2779758355606147
7,120,0.949975000000002,0.3070723597775718
7,145,0.9001199999999983,0.31890921821765084
7,170,0.9168850000000006,0.44537849221832465
8,0,0.8789862500000023,0.4645268512110683
8,70,0.835475000000006,0.441516664656731
8,95,0.9197166666666708,0.29157033284109296
8,120,0.8047285714285692,0.20968769178092458
8,145,0.8223044444444443,0.1046178354410828
8,170,0.9113830000000003,0.14647631916005444
9,0,0.8165000000000001,0.18542474938299916
9,70,0.8334749999999982,0.09927820573505
9,95,0.8767016249999997,0.0774016064006794
9,120,0.8055288888888883,0.07755234714065729
9,145,0.8388022222222244,0.07208778388960257
9,170,0.8330166666666704,0.1192399379259141
10,0,0.9188465714285716,0.09271529196091798
10,70,0.7795922222222234,0.1541690077301865
10,95,0.885435000000002,0.07891721874662078
10,120,0.7832200000000057,0.08715830731747923
10,145,0.8499500000000012,0.06619405321813623
10,170,0.8110555555555519,0.09856082253518302
11,0,0.9583809999999997,0.5869640163764135
11,70,0.8997900000000006,0.33802818805792606
11,95,0.9169049999999951,0.3268000858155239
11,120,0.9251999999999896,0.23983839497076156
11,145,0.895824999999995,0.18528485428308533
11,170,0.8734714285714347,0.35277489380102395
12,0,0.833000000000007,0.2633691368838466
12,70,0.8710228571428585,0.22240688277369447
12,95,0.8236555555555564,0.12494422281653099
12,120,0.8350112499999973,0.19760575907342234
12,145,0.7678900000000013,0.10930096077588448
12,170,0.9213351285714283,0.35440723650567485
13,0,0.9536832000000007,0.3747736919691702
13,70,0.8947516666666679,0.42579853121080513
13,95,0.8721100000000016,0.09388388722479699
13,120,0.9522285714285813,0.37746321575127684
13,145,0.8665285714285663,0.2999982368246484
13,170,0.8740142857142855,0.3825947675296748
14,0,0.7621624999999934,0.09429203596393015
14,70,0.799834999999999,0.07527985783526824
14,95,0.8029939999999982,0.0998960649373651
14,120,0.8903285714285728,0.1688240328053072
14,145,0.851531625,0.06909281837672746
14,170,0.7518857142857159,0.0631316427960063
15,0,0.8528886666666667,0.1557448852678826
15,70,0.8227399999999989,0.12368228889412203
15,95,0.799666666666667,0.23294857217666914
15,120,0.9167000000000038,0.217355329340754
15,145,0.9196760000000012,0.20853824475044383
15,170,0.8830200000000019,0.1559381718995728
16,0,0.8915116666666663,0.5919457878999402
16,70,0.8583874999999992,0.12298599101934772
16,95,0.8444333333333324,0.17585711812677504
16,120,0.8684125000000069,0.16082442750810885
16,145,0.8890906666666675,0.7898139901173735
16,170,0.8866259999999997,0.1664937174328299
17,0,0.9132400000000018,0.3462749654121519
17,70,0.9278000000000001,0.3658068218802083
17,95,0.9833354999999995,0.4754825336424398
17,120,0.9334175000000027,0.1257326678303225
17,145,0.9363679999999988,0.3341777403311569
17,170,0.8660599999999988,0.21087382697743448
18,0,0.9417560749999998,0.29322153187285066
18,70,0.9082399999999993,0.4229783809087608
18,95,0.9457249999999995,0.20004327236046068
18,120,0.884640000000001,0.2456723434789255
18,145,0.9428999999999916,0.2663626509913312
18,170,0.9381857142857167,0.24294149958278272
19,0,0.8771433333333363,0.1199022077593515
19,70,0.9453625000000017,0.37615239128030764
19,95,0.8855833333333365,0.23305059350489699
19,120,0.9332666666666682,0.2381952328320687
19,145,0.8093714285714262,0.13423727718599177
19,170,0.8995382500000004,0.15463791603480484
